Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
The Garden,2019,N/A,05 Oct 2019,5 min,"Short, Horror",Patrick Müller,H.P. Lovecraft,Bernhard Plank,"Strange blossoms, sunken pathways, déjà vus: A hike through H. P. Lovecraft's most personal garden.",English,Germany,2 wins,https://m.media-amazon.com/images/M/MV5BN2FiZGYxZjctODc3OC00YTlhLWI4MTEtODA0NjQwNTBiMDYwXkEyXkFqcGdeQXVyMjQwNDgzMDU@._V1_SX300.jpg,N/A,7.5,29,tt10381456,movie,N/A,N/A,N/A,N/A,True,7.5/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Fighting,2009,PG-13,24 Apr 2009,105 min,"Action, Crime, Drama",Dito Montiel,"Robert Munic, Dito Montiel","Channing Tatum, Terrence Howard, Luis Guzmán","In New York City, a young counterfeiter is introduced to the world of underground street fighting by a seasoned scam artist, who becomes his manager on the bare-knuckling brawling circuit.","English, Russian, Spanish, Italian",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTk5NjM3MjA5Nl5BMl5BanBnXkFtZTcwODI2MTQ0Mg@@._V1_SX300.jpg,61,5.6,"34,550",tt1082601,movie,N/A,"$23,091,010",N/A,N/A,True,5.6/10,40%,61/100,,,,
The Garden,2008,Unrated,01 Apr 2014,80 min,Documentary,Scott Hamilton Kennedy,Scott Hamilton Kennedy,"Danny Glover, Daryl Hannah, Antonio Villaraigosa","From the ashes of the L.A. riots arose a lush, 14-acre community garden, the largest of its kind in the United States. Now bulldozers threaten its future.","English, Spanish",United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BODMyMzg3ODQxOF5BMl5BanBnXkFtZTcwNDgyMjQ0Mg@@._V1_SX300.jpg,N/A,7.3,749,tt1252486,movie,N/A,"$26,931",N/A,N/A,True,7.3/10,79%,,,,,
Obsessed,1997,N/A,N/A,N/A,N/A,Bobby A. Suarez,Bobby A. Suarez,"Elizabeth Bankhead, Kristine Erlandson, Bryan Hall","She is intelligent, beautiful, alluring and only seventeen, yet no man dares to come near her...",English,Philippines,N/A,N/A,N/A,N/A,N/A,tt0387458,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Obsessed,2002,TV-PG,22 Sep 2002,90 min,"Drama, Mystery, Thriller",John Badham,Matthew Tabak,"Jenna Elfman, Kate Burton, Lisa Edelstein","Based on a factual case involving Diane Schaefer and Dr. Murray Brennan, a woman's claims of having had a relationship with a prominent doctor are completely denied by him.",English,"Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BNWY4NjNkNjgtMmYzYS00MjY1LWEyMzctNTUwOTg3ZDEwZjRmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,N/A,5.6,932,tt0325322,movie,N/A,N/A,N/A,N/A,True,5.6/10,,,,,,
The Soloist,2009,PG-13,24 Apr 2009,117 min,"Biography, Drama, Music",Joe Wright,"Susannah Grant, Steve Lopez","Jamie Foxx, Robert Downey Jr., Catherine Keener",A newspaper journalist discovers a homeless musical genius and tries to improve his situation.,English,"United Kingdom, France, United States",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjExODQ3MTI5Nl5BMl5BanBnXkFtZTcwMDEyMTQ5MQ@@._V1_SX300.jpg,61,6.7,"56,402",tt0821642,movie,N/A,"$31,720,158",N/A,N/A,True,6.7/10,56%,61/100,,,,
Tyson,2008,R,15 May 2009,90 min,"Documentary, Biography, Sport",James Toback,James Toback,"Mike Tyson, Mills Lane, Trevor Berbick","A mixture of original interviews, archival footage, and photographs sheds light on the life experiences of Mike Tyson.",English,"United States, France",1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMzU0NjM1MTQzN15BMl5BanBnXkFtZTcwMTE3MTA0Mg@@._V1_SX300.jpg,83,7.4,"13,123",tt1032821,movie,N/A,"$887,918",N/A,N/A,True,7.4/10,85%,83/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Obsessed,2009,PG-13,24 Apr 2009,108 min,"Drama, Romance, Thriller",Steve Shill,David Loughery,"Beyoncé, Idris Elba, Ali Larter",A successful executive's seemingly perfect career and marriage starts falling apart when his firm hires a seductive office temp.,English,United States,4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwOTM2MzE5MF5BMl5BanBnXkFtZTcwMjM0NTcyMg@@._V1_SX300.jpg,25,5.0,"35,549",tt1198138,movie,N/A,"$68,261,644",N/A,N/A,True,5.0/10,19%,25/100,,,,
Tyson,1995,Unrated,29 Apr 1995,104 min,"Biography, Drama, Sport",Uli Edel,"José Torres, Robert Johnson","George C. Scott, Paul Winfield, Michael Jai White","The story of Mike Tyson. From his early days as a 12 year old amateur with a powerful punch, to the undisputed title of ""Heavyweight Champion of the World"", and ultimately to his conviction for rape. The story of his turbulent lif...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNzNkNWM3MDItOWU2Yy00NDBjLWJjZWQtZjY3MzY0NGVmZTViXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,"2,598",tt0114759,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Obsessed,1992,Not Rated,27 Sep 1992,88 min,"Drama, Thriller",Jonathan Sanger,David E. Peckinpah,"Shannen Doherty, William Devane, Clare Carey","A young woman (Doherty) who grew up feeling neglected by her father, has a fascination for older men. When she meets a man (Devane) that her company is doing business with, she is taken with. And before you know they are having an...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU1NDU1NjQzNV5BMl5BanBnXkFtZTcwMTA3MDgxMQ@@._V1_SX300.jpg,N/A,5.7,564,tt0105041,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,
The Golden Boys,2008,PG,16 Nov 2008,97 min,"Comedy, Romance",Daniel Adams,"Daniel Adams, Joseph C. Lincoln","David Carradine, Rip Torn, Bruce Dern","A romantic comedy, set on Cape Cod in 1905, about three 70-year-old retired sea captains who try to lure an attractive middle-aged woman into marriage.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjA0MjcwMzk1NF5BMl5BanBnXkFtZTcwMzk0Njg0Mg@@._V1_SX300.jpg,N/A,6.0,614,tt0882969,movie,N/A,"$43,600",N/A,N/A,True,6.0/10,31%,,,,,
Lemon Tree,2023,N/A,14 May 2024,17 min,"Short, Drama",Rachel Walden,Rachel Walden,"Gordon Rocks, Charlie Chaspooley Robinson, Robin Channing","At a Halloween carnival, a young father steals a magician's rabbit to impress his ten year old son. The thrill of the petty theft quickly dissolves into reality when the the young boy is tasked with getting himself, his father, an...",English,United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNmJhOGNmMzItYWZlOC00Nzk2LThmOGQtZjU5MmRmMzlkYjMzXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,208,tt27543446,movie,N/A,N/A,N/A,N/A,True,,,,,,,
State of Play,2009,PG-13,17 Apr 2009,127 min,"Crime, Drama, Mystery",Kevin Macdonald,"Matthew Michael Carnahan, Tony Gilroy, Billy Ray","Russell Crowe, Rachel McAdams, Ben Affleck",An investigative journalist probes the murder of a Congressman's mistress.,"English, Cantonese, Irish Gaelic","United Kingdom, France, United States",2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1MTQ4MDIwMl5BMl5BanBnXkFtZTcwNzgxOTc0Mg@@._V1_SX300.jpg,64,7.1,"164,725",tt0473705,movie,N/A,"$37,017,955",N/A,N/A,True,7.1/10,84%,64/100,,,,
The Golden Boys,2022,N/A,N/A,70 min,Comedy,Peter Algiers,"Anthony Algiers, Peter Algiers","Robert Dunne, Daniel Mills, Peter Algiers","Hans and Antho, two lifelong friends, attempt to track down and catch a serial bank robber, for the reward and the glory. In their search for the Billy Goat Bandit, they enlist the help of a few colorful characters who are all Gol...",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzY1NjQwYWQtMWVlMy00OTUzLWFiYzYtNmJjNmI4MmNjYjdkXkEyXkFqcGdeQXVyMTIwMzg2NDEw._V1_SX300.jpg,N/A,N/A,N/A,tt23038352,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Is Anybody There?,2008,PG-13,15 May 2009,94 min,Drama,John Crowley,Peter Harness,"Michael Caine, Bill Milner, Anne-Marie Duff",A lonely boy who lives in his parents' home for the elderly explores his obsession with the afterlife through his friendship with an aging magician.,English,"United Kingdom, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BOTJlYmEzZWUtN2UxNi00NzViLWI2MTgtNGJkNmM1YTY3N2IyXkEyXkFqcGc@._V1_SX300.jpg,54,6.6,"5,035",tt1130088,movie,N/A,"$2,026,756",N/A,N/A,True,6.6/10,65%,54/100,,,,
17 Again,2009,PG-13,17 Apr 2009,102 min,"Comedy, Drama, Fantasy",Burr Steers,Jason Filardi,"Zac Efron, Leslie Mann, Thomas Lennon",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,English,United States,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg,48,6.4,"229,054",tt0974661,movie,N/A,"$64,167,069",N/A,N/A,True,6.4/10,57%,48/100,,,,
Every Little Step,2008,PG-13,12 Jun 2009,96 min,"Documentary, Music","Adam Del Deo, James D. Stern",N/A,"Bob Avian, Justin Bellero, Michael Bennett","Follows the plight of real-life dancers as they struggle through auditions for the Broadway revival of ""A Chorus Line"". Also investigates the history of the show and the creative minds behind the original and current incarnations.",English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3ODk2MDQxMl5BMl5BanBnXkFtZTcwNjk2MjczMg@@._V1_SX300.jpg,76,7.7,"1,738",tt0977648,movie,N/A,"$1,725,141",N/A,N/A,True,7.7/10,91%,76/100,,,,
American Violet,2008,PG-13,17 Apr 2009,103 min,Drama,Tim Disney,Bill Haney,"Nicole Beharie, Will Patton, Alfre Woodard",A single mother struggles to clear her name after being wrongly accused and arrested for dealing drugs in an impoverished Texas town.,English,United States,4 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BMTYwNjg4ODIwMV5BMl5BanBnXkFtZTcwODM3OTI4Mg@@._V1_SX300.jpg,56,6.9,"2,810",tt1152397,movie,N/A,"$554,434",N/A,N/A,True,6.9/10,75%,56/100,,,,
The Golden Boys,2023,N/A,18 Feb 2023,12 min,"Short, Comedy",Jett Garrison,J.J. Hawkins,"J.J. Hawkins, Casey Young","Two best friends, JJ and Casey, are getting ready to go to a party - the theme of which just so happens to be twin night, which JJ somehow forgot to mention. While JJ hurriedly tries to put matching outfits together for the two of...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzdmZDgwN2EtM2U3My00MjU3LWI5MTEtOTA3MDc0MGZmMTNhXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt22698356,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Observe and Report,2009,R,10 Apr 2009,86 min,"Action, Comedy, Crime",Jody Hill,Jody Hill,"Seth Rogen, Anna Faris, Ray Liotta","Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is ...",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0NDY4MDA5M15BMl5BanBnXkFtZTgwNTQyMzcwMzE@._V1_SX300.jpg,54,5.8,"66,114",tt1197628,movie,N/A,"$24,007,324",N/A,N/A,True,5.8/10,51%,54/100,,,,
Dragonball Evolution,2009,PG,10 Apr 2009,85 min,"Action, Adventure, Fantasy",James Wong,"Ben Ramsey, Akira Toriyama","Justin Chatwin, James Marsters, Chow Yun-Fat","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","English, Japanese","United States, United Kingdom, Mexico, Hong Kong",1 nomination total,https://m.media-amazon.com/images/M/MV5BZTg0ZGM3NmItNmU4ZC00YWIxLWI0Y2UtMzNmYjE4MjIwM2QxXkEyXkFqcGc@._V1_SX300.jpg,45,2.5,"82,945",tt1098327,movie,N/A,"$9,362,785",N/A,N/A,True,2.5/10,14%,45/100,,,,
Sugar,2004,R,07 Apr 2005,78 min,"Drama, Romance",John Palmer,"Todd Klinck, Bruce La Bruce, Jaie Laplante","Andre Noble, Marnie McPhail, Haylee Wanstall",Troubled suburban teen Cliff hooks up with a hustler from the streets of Toronto's gay ghetto.,English,Canada,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTQzMzAyMTkxMl5BMl5BanBnXkFtZTcwMjMwMjcyMQ@@._V1_SX300.jpg,N/A,5.7,"2,042",tt0374252,movie,N/A,N/A,N/A,N/A,True,5.7/10,75%,,,,,
Sugar,2013,TV-14,06 Apr 2013,88 min,Drama,Rotimi Rainwater,"Tony Aloupis, Rotimi Rainwater","Shenae Grimes-Beech, Marshall Allman, Austin Williams",A 20-year-old homeless girl is suffering from post traumatic stress syndrome on the streets of Hollywood and Venice beach.,English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTYzMjQwNTQ2OV5BMl5BanBnXkFtZTcwNjY3MjY3OQ@@._V1_SX300.jpg,N/A,5.9,408,tt1729615,movie,N/A,N/A,N/A,N/A,True,5.9/10,,,,,,
Sugar,2016,N/A,12 Apr 2016,N/A,"Short, Drama",Dime Davis,Dime Davis,"Elle Lorraine, Wendy Raquel Robinson, Terrence Colby Clemons","A mother and daughter face a harsh new reality - Alzheimer's disease. After being away, Charlie returns home to find the one person she can't live without has quickly deteriorated into a woman she hardly knows.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzRlY2E0YzgtMTU2Zi00ODZkLTg0YzYtN2EyY2JhMTljYjQ4XkEyXkFqcGdeQXVyNjI3MzkyMzI@._V1_SX300.jpg,N/A,N/A,N/A,tt4944088,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Sugar,2017,N/A,30 Jul 2017,12 min,"Short, Drama",Jacob Isaiah Kelly,Jacob Isaiah Kelly,"Mariah Ann Martin, Jordan Van Vranken","After a defeating first year of college, a young woman enlists the help of a friend to participate in a baking competition, only to find fulfillment in unexpected ways.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmY1NDRjY2ItODI4Ny00ZjVkLWI2NzEtN2Y5ZTZmN2UwMTVhXkEyXkFqcGdeQXVyNjE4NjU5ODg@._V1_SX300.jpg,N/A,N/A,9,tt7200458,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Gigantic,2008,R,19 Jun 2009,98 min,"Comedy, Drama, Romance",Matt Aselton,"Adam Nagata, Matt Aselton","Paul Dano, Zooey Deschanel, John Goodman","A mattress salesman's plan to adopt a Chinese baby is augmented by the arrival of a young woman who comes to his workplace, falls asleep on one of the beds, and upon waking starts to affect his life.","English, French",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNjE4MWM0ODgtOTgxOC00MDc0LWFhNDQtYWU3OWMxOGYyMGNiXkEyXkFqcGc@._V1_SX300.jpg,38,6.0,"9,996",tt1176251,movie,N/A,"$102,704",N/A,N/A,True,6.0/10,36%,38/100,,,,
Rolling,2007,Not Rated,11 Feb 2007,90 min,"Drama, Music, Romance",Billy Samoa Saleebey,"John Paul Cooney, Billy Samoa Saleebey, Cody Parrish Thompson","Sanoe Lake, Garrett Brawith, Rachel Hardisty","A med student, a teenage runaway, a lawyer, a drag queen, a high school basketball player, a drug dealer, and a teacher all cross paths in the Ecstasy-riddled L.A. underground party scene. Rolling is a turbulent journey that takes...",English,United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjA3MTM4MTY1OF5BMl5BanBnXkFtZTcwNjAzMzM0Mg@@._V1_SX300.jpg,N/A,5.4,457,tt0469966,movie,12 May 2009,"$103,318",Fourwheeldrive,N/A,True,5.4/10,,,,,,
Sugar,2008,PG-13,24 Apr 2009,114 min,"Drama, Sport","Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck","Algenis Perez Soto, Jose Rijo, Walki Cuevas","Dominican baseball star Miguel ""Sugar"" Santos is recruited to play in the U.S. minor-leagues.","Spanish, English","United States, Dominican Republic",2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTMzMzI0OTIyOF5BMl5BanBnXkFtZTcwMzU1NzEzMg@@._V1_SX300.jpg,82,7.2,"5,223",tt0990413,movie,N/A,"$1,082,124",N/A,N/A,True,7.2/10,93%,82/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Adventureland,2009,R,03 Apr 2009,107 min,"Comedy, Drama, Romance",Greg Mottola,Greg Mottola,"Jesse Eisenberg, Kristen Stewart, Ryan Reynolds","In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NTYyMjA2N15BMl5BanBnXkFtZTcwNjU1OTA0Mg@@._V1_SX300.jpg,76,6.8,"173,062",tt1091722,movie,N/A,"$16,044,025",N/A,N/A,True,6.8/10,89%,76/100,,,,
Sugar,2017,N/A,10 May 2017,12 min,"Short, Drama",Michael Patti,"Michael Patti, Josh Wheelock, Josh Wheelock","Max Armen, Nick Markovich, Isabelle Owens","""Sugar"" is an elegiac short film directed by filmmaker, Michael Patti. Michael sought to tell a story of grief, patience, the overwhelming aspects of parenthood and the understanding that we are all connected. ""Sugar"" a stirring, ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGE5ZGM2MTMtYTViMS00ZTgwLWI5M2MtZTRiMzNjZGI5MGI2XkEyXkFqcGdeQXVyMzU5Mzc5MjA@._V1_SX300.jpg,N/A,N/A,N/A,tt7460742,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Sugar,2005,N/A,01 Jan 2005,80 min,Thriller,"Patrick Jolley, Reynold Reynolds","Samara Golden, Patrick Jolley, Reynold Reynolds",Samara Golden,"A young woman rents a shabby one room apartment, opening the door for visions, nightmares, memories, and revenge.",English,"United States, Ireland, France",N/A,https://m.media-amazon.com/images/M/MV5BMTIwODQzNTg3OF5BMl5BanBnXkFtZTcwMzI5NjEzMQ@@._V1_SX300.jpg,N/A,5.0,109,tt0436805,movie,N/A,N/A,N/A,N/A,True,5.0/10,,,,,,
Sugar,2017,N/A,01 Sep 2017,10 min,"Short, Drama",Matthew Crawford,Matthew Crawford,"Lloyd Everitt, Georgia Henshaw, Tomos Eames","Through the eyes of our protagonist Ellis (Lloyd Everitt), who suffers in silence in a world which pounces on any form of perceived weakness, we consider the harmful effect of needing to conceal the truth from the people around you.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZjRiMjE3NjctYmQ2ZS00MTRiLWJlOWQtZDE1Y2EyY2Y2YmNkXkEyXkFqcGdeQXVyNjY0MTY3Nzk@._V1_SX300.jpg,N/A,N/A,N/A,tt5641528,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Sugar,2022,TV-14,04 Jun 2023,101 min,"Crime, Drama",Vic Sarin,"Annelies Kavan, Ben Johnstone, Vic Sarin","Katherine McNamara, Jasmine Sky Sarin, Éric Bruneau","Two influencers find themselves on a luxury cruise through the Caribbean and South Pacific. But as the mirage of their online personas starts clashing with their real-life ambitions, a battle of wills threatens to tear them apart.","English, German","Canada, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BNDk5ZmM5NTEtYjBlMC00MjE0LTg3Y2YtM2NhM2JiOWZhMWVjXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.5,711,tt12402658,movie,N/A,N/A,N/A,N/A,True,4.5/10,,,,,,
Sugar,2013,N/A,22 Jul 2013,12 min,"Short, Drama, Sci-Fi",Jasmine Johnson,N/A,"Kalia Prescott, Austin James Wolff, Erica Duke, Whitney Fuller",One orphaned girl struggles to survive in the not so distant future where society has succumbed to violence and become a kill or be killed world.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTc2MTg3Mzc3N15BMl5BanBnXkFtZTgwNDIwNjU0MDE@._V1_SX300.jpg,N/A,N/A,N/A,tt3151568,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Fast & Furious,2009,PG-13,03 Apr 2009,107 min,"Action, Thriller",Justin Lin,"Chris Morgan, Gary Scott Thompson","Vin Diesel, Paul Walker, Jordana Brewster","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.","English, Spanish","Japan, United States",6 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BM2Y1YzhkNzUtMzhmZC00OTFkLWJjZDktMWYzZmQ0Y2Y5ODcwXkEyXkFqcGc@._V1_SX300.jpg,46,6.5,"329,687",tt1013752,movie,N/A,"$155,064,265",N/A,N/A,True,6.5/10,28%,46/100,,,,
Sugar the Beginning,2022,N/A,16 Jun 2022,90 min,Drama,Jermaine Quick,Jermaine Quick,"Jermaine Quick, Giselle Martin, La'Cinda Trotter",A fictional story based on true events about an empowering successful female boutique owner by day and vigilante by night who helps domestic violence victims. Her worlds are colliding and she has to overcome her protagonist plot to k,English,United States,N/A,N/A,N/A,N/A,N/A,tt18764684,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Alien Trespass,2009,PG,01 Jan 2009,90 min,"Comedy, Horror, Sci-Fi",R.W. Goodwin,"Steven P. Fisher, Jim Swift","Eric McCormack, Jenni Baird, Robert Patrick","After crash landing near a desert town, an alien enlists the help of a local waitress to re-capture a monster that escaped from the wreckage of his space ship.",English,"United States, Canada",7 nominations,https://m.media-amazon.com/images/M/MV5BMTg4NzA1NDA3M15BMl5BanBnXkFtZTcwMjY0NDcyMg@@._V1_SX300.jpg,48,5.8,"4,362",tt1122836,movie,N/A,"$104,526",N/A,N/A,True,5.8/10,38%,48/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Error getting data.,,,
Sugar,2016,N/A,21 Sep 2016,N/A,"Short, Drama",Michelle Serieux,N/A,"Shanique Brown, Karen Harriot, Shantol Jackson",A young black Jamaican girl from the underclass on the brink of womanhood works at a resort to support her large family. She faces a crisis of conscience when a tourist couple seems to be the answer to her financial predicament.,English,Jamaica,N/A,https://m.media-amazon.com/images/M/MV5BNmRmOTE5ZDktODkyZS00ZjdmLTk0MDAtNmYyYzI4NmMwMDY3XkEyXkFqcGdeQXVyODAzMjc0ODQ@._V1_SX300.jpg,N/A,N/A,N/A,tt7590688,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
12 Rounds,2009,PG-13,27 Mar 2009,108 min,"Action, Crime, Thriller",Renny Harlin,Daniel Kunka,"John Cena, Ashley Scott, Aidan Gillen","Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDI5NGM1NjEtODk4Yy00MjZhLTk5YmYtY2FmZmM4NjdkNWU5XkEyXkFqcGc@._V1_SX300.jpg,38,5.6,"30,927",tt1160368,movie,N/A,"$12,234,694",N/A,N/A,True,5.6/10,31%,38/100,,,,
The Haunting in Connecticut,2009,PG-13,27 Mar 2009,92 min,"Drama, Horror, Mystery",Peter Cornwell,"Adam Simon, Tim Metcalfe","Virginia Madsen, Martin Donovan, Elias Koteas","After a family is forced to relocate for their son's health, they begin experiencing supernatural behavior in their new home, and uncover a sinister history.",English,"United States, Canada",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmE4Mjk4YjQtZTYzOS00OWYxLWEwMTItMzJmZThhNjQ1OWNjXkEyXkFqcGc@._V1_SX300.jpg,33,5.8,"66,393",tt0492044,movie,N/A,"$55,389,516",N/A,N/A,True,5.8/10,17%,33/100,,,,
Goodbye Solo,2008,R,26 Aug 2009,91 min,Drama,Ramin Bahrani,"Bahareh Azimi, Ramin Bahrani","Souleymane Sy Savane, Red West, Diana Franco Galindo",Two men form an unlikely friendship that will change both of their lives forever.,"English, French, Wolof, Spanish",United States,3 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTA3MDQyODE4MTJeQTJeQWpwZ15BbWU3MDcxNjM1MjI@._V1_SX300.jpg,89,7.3,"6,181",tt1095442,movie,N/A,"$870,781",N/A,N/A,True,7.3/10,93%,89/100,,,,
The Great Buck Howard,2008,PG,10 Apr 2009,90 min,"Adventure, Comedy, Drama",Sean McGinly,Sean McGinly,"Colin Hanks, John Malkovich, Tom Hanks","A young man, much to the chagrin of his father, becomes the new assistant to an illusionist in decline.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDE2Njc3MjI5NV5BMl5BanBnXkFtZTcwODAxOTQzMg@@._V1_SX300.jpg,63,6.4,"14,854",tt0460810,movie,N/A,"$750,587",N/A,N/A,True,6.4/10,70%,63/100,,,,
Duplicity,2025,N/A,30 Nov 2025,14 min,"Short, Action","Andrew Amrit Pal Singh, Zain Ayub","Zain Ayub, Andrew Amrit Pal Singh","Andrew Amrit Pal Singh, Harjot Sarai, Jack Mangal","Suhrab, a notorious figure in the underground drug world, is invited to the luxurious home of his rival, Serg, for a supposed negotiation. However, upon arrival, Suhrab quickly realizes that Serg's intentions are far from peaceful.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMjQ1ZTBlN2ItODZhNi00MTVmLTllOWItNmNmMmU0MDVjNGRiXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt37523665,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Duplicity,2016,N/A,28 Dec 2016,71 min,Mystery,Garrett Adams,Garrett Adams,"Benjamin Mehr, Andrew Wright, Ben Gardner, Meghan Liberto","Duplicity takes a leap into the inner subconscious as it explores the themes of family, friendship, loss and ones inability to let go of the past.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDkxMjUxYjUtZGIxNy00Yzc5LTgzNjItYmI0N2NmMmUxMzIwXkEyXkFqcGdeQXVyNjkyNzcxMzg@._V1_SX300.jpg,N/A,N/A,N/A,tt6149902,movie,N/A,N/A,N/A,N/A,True,,,,,,,
