Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Yesterday,2019,N/A,25 Jan 2019,N/A,Short,Ronak Chugh,Ronak Chugh,"Shreya Dhanwanthary, Auritra Ghosh, Kunaal Roy Kapur",A window into the most emotionally eventful 24 hours that the protagonist Gautam has had in years.,"English, Hindi",India,N/A,https://m.media-amazon.com/images/M/MV5BYjIyNzk1ZDktMzUzNi00MDEyLWFmMWUtN2E4NmYzY2Y4OGUxXkEyXkFqcGdeQXVyNjYyNzkzNDY@._V1_SX300.jpg,N/A,8.1,17,tt8735566,movie,N/A,N/A,N/A,N/A,True,8.1/10,,63%,,,,,
Yesterday,2018,PG-13,06 Oct 2018,N/A,Drama,Willie Robbins,Willie Robbins,"Cael Adcock, Donice Cully, Mykie Fisher",A man who was dumped by his fiancee at the altar on his wedding day is reunited with her several years later at a book signing.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNzlmZTk0ZmItYjQ4OC00Y2EzLWIzMWEtNjczM2UxNWQ1MGI0XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,14,tt7402432,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Ophelia,2018,PG-13,28 Jun 2019,106 min,"Drama, Romance, Thriller",Claire McCarthy,"Semi Chellas, Lisa Klein, William Shakespeare","Daisy Ridley, Mia Quiney, Calum O'Rourke","A reimagining of Hamlet, told from Ophelia's perspective.","English, Norwegian, Latin","United Kingdom, United States",4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTU2OTAxNjI2OV5BMl5BanBnXkFtZTgwNzc2NjUwODM@._V1_SX300.jpg,60,6.5,"13,750",tt5690810,movie,04 Jul 2019,"$50,722",N/A,N/A,True,6.5/10,,62%,60/100,,,,
Yesterday,1981,PG,28 Mar 1981,95 min,"Drama, Romance, War",Larry Kent,"John Dunning, Bill La Mond, Carol H. Leckner","Claire Pimparé, Vincent Van Patten, Eddie Albert","A young soldier maimed in Vietnam, allows his former girlfriend to believe he's dead to spare her the anguish.",English,Canada,4 nominations,https://m.media-amazon.com/images/M/MV5BYjBjYWZiOGUtN2I0Ny00Zjk1LWJkZjYtMzI1MzBlMWY2ZTNkXkEyXkFqcGdeQXVyMDAyMTY3Nw@@._V1_SX300.jpg,N/A,6.2,179,tt0081787,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,,
Ophelia,2017,N/A,18 Jun 2017,12 min,"Short, Drama, Romance",Jamie Sims,Sam Underwood,"Valorie Curry, Jon McCormick, Mitch Tebo",A short Film based on William Shakespeare's Hamlet.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjc3M2YwMWItZTM1ZC00ZmYzLTkyOWEtY2VhOTY4NTAyODU4XkEyXkFqcGdeQXVyNzAyMDcxODA@._V1_SX300.jpg,N/A,6.5,25,tt6319396,movie,N/A,N/A,N/A,N/A,True,6.5/10,,,,,,,
Annabelle Comes Home,2019,R,26 Jun 2019,106 min,"Horror, Mystery, Thriller",Gary Dauberman,"Gary Dauberman, James Wan","Vera Farmiga, Patrick Wilson, Mckenna Grace","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjRjYmQ5NTQtYzIyNi00MmNlLTlmNjYtNjQ3NzRlZmY3YjFlXkEyXkFqcGc@._V1_SX300.jpg,53,5.9,"96,848",tt8350360,movie,N/A,"$74,152,591",N/A,N/A,True,5.9/10,,64%,53/100,,,,
Anna,2019,R,21 Jun 2019,118 min,"Action, Thriller",Luc Besson,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,"English, Russian, French, Italian, Dutch","France, United States, Canada, Russia, Serbia, Guadeloupe",2 nominations total,https://m.media-amazon.com/images/M/MV5BZGZmMGE3MGQtZGMzNC00NDJhLWExNzMtYmI2YjkwZWZhMTJmXkEyXkFqcGc@._V1_SX300.jpg,40,6.7,"104,570",tt7456310,movie,N/A,"$7,743,794",N/A,N/A,True,6.7/10,,34%,40/100,,,,
Anna,2013,R,24 Jan 2014,99 min,"Drama, Mystery, Sci-Fi",Jorge Dorado,"Guy Holmes, Martha Holmes","Mark Strong, Taissa Farmiga, Brian Cox","A man with the ability to enter people's memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",English,"Spain, United States, United Kingdom, France",3 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwNDQwNjUxNV5BMl5BanBnXkFtZTgwODgzMjk2MTE@._V1_SX300.jpg,42,6.4,"25,914",tt1715336,movie,N/A,"$4,288",N/A,N/A,True,6.4/10,,32%,42/100,,,,
Anna,2015,N/A,07 Nov 2015,8 min,"Short, Drama",Harriett Maire,Harriett Maire,"Geneva Norman, Mark Oughton, Maree Jeurissen","Anna is a young woman on the Autism Spectrum who enjoys living a life of rigorous routine. When someone unintentionally sits on her seat on her morning bus, her day is sent spinning out of control.",English,New Zealand,N/A,https://m.media-amazon.com/images/M/MV5BZmY4ZjNmMjQtMGE5YS00MDY5LWEyNTctNWRhMjllMWUzZjYxXkEyXkFqcGdeQXVyMjU0MjEzNzA@._V1_SX300.jpg,N/A,N/A,10,tt5350422,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Anna,1987,PG-13,28 Nov 1987,100 min,Drama,Yurek Bogayevicz,"Yurek Bogayevicz, Agnieszka Holland","Sally Kirkland, Paulina Porizkova, Robert Fields","Anna, an aging Czech movie star, comes to NYC struggling to establish her career. When she meets a beautiful, young peasant girl, she teaches her the ins and outs of acting, only to have the young girl become a screen star instead.",English,United States,Nominated for 1 Oscar. 4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjI2MmQ3MzAtYzk3MC00YzZlLWFmZjgtYWZhMzg3YjU3YzFjXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,818,tt0092569,movie,N/A,"$1,236,848",N/A,N/A,True,6.4/10,,,,,,,
Anna,2014,N/A,18 Jan 2014,5 min,"Short, Horror",Matthew Forte,Matthew Forte,"Brandi Bravo, Arriana Vasquez",Anna committed suicide to escape her battle with bulimia. But death had other plans...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDM1ZmQyNzEtMmU3Mi00MDdjLTk1YTQtODM0YzhkOWRjNGQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,8.0,29,tt3075362,movie,N/A,N/A,N/A,N/A,True,8.0/10,,,,,,,
Anna,2017,N/A,N/A,N/A,"Short, Drama, Thriller",Natalie Dale,Natalie Dale,"Chris Violette, Nadin Rizk, Marianthi Evans",A woman's struggle to accept her fate finds hope and solitude with the innocence left in her heart.,English,Canada,4 nominations,https://m.media-amazon.com/images/M/MV5BYzBmMzYxZDctZTI3MS00NmEzLTg3MDQtNTM5NmQ3Y2QwZTZmXkEyXkFqcGdeQXVyMzAzMTAxMjY@._V1_SX300.jpg,N/A,N/A,N/A,tt6583808,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Anna,2022,N/A,05 Dec 2022,14 min,"Short, Drama",Stephen Di Gravio,Stephen Di Gravio,"Paul Armstrong, Olivia Cantarella, Luke Jacka",Single mother Anna is forced to reconcile with her traumatic past after she decides to sneak over to her ex-husband's house in the middle of the night to see her daughter.,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BYmM4ZTBiODMtNzRiNy00MTU0LWI2YTgtMzQ3MDhhZjhhZjQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt24060056,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Anna,2017,R,01 Mar 2017,97 min,Horror,Michael Crum,N/A,"Justin A Duncan, Gerald Crum, Shanon Snedden","Two men steal a doll from a museum, which unbeknownst to them, opens up a gateway to Hell.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzY0Zjc5YzgtY2RmZi00MTc2LTgxMDItZDk1Njg3OWYzNjZmXkEyXkFqcGc@._V1_SX300.jpg,N/A,2.1,519,tt6427854,movie,N/A,N/A,N/A,N/A,True,2.1/10,,,,,,,
Anna,1997,N/A,26 Oct 1997,58 min,Documentary,"Anastasia Lapsui, Markku Lehmuskallio","Anastasia Lapsui, Markku Lehmuskallio","Pekka Milonoff, Anna Momde, Aleksandr Momde, Antonina Momde",N/A,Finnish,Finland,1 win.,N/A,N/A,N/A,N/A,tt1606594,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Will Butler: Anna,2015,N/A,08 Oct 2015,4 min,"Short, Music",Brantley Gutierrez,N/A,Emma Stone,"Emma Stone stars in the music video for ""Anna"" by Will Butler.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGQ1NWExMTAtMjYxMS00MWE3LTlmNzYtMmFlNGIzNjIzZTk1XkEyXkFqcGdeQXVyNDE2NjU3Nzk@._V1_SX300.jpg,N/A,7.8,135,tt5708190,movie,N/A,N/A,N/A,N/A,True,7.8/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
The Quiet One,2017,N/A,01 Dec 2017,91 min,Thriller,Jon Pegg,Jon Pegg,"George McCluskey, Gillian MacGregor, Louis Murrall","Lenny Parker, a mysterious stranger becomes the landlord of a local pub. A ruthless gang who work for local businessman Ray Gleeson decide they want to take over the pub, spurred on by the fact that Lenny's barmaid Terri is the ex...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDhmOTRhYTYtMWZlMS00M2E2LTljZjUtNWRkMDM5YTliZGQ1XkEyXkFqcGdeQXVyMjMzOTkzNTQ@._V1_SX300.jpg,N/A,5.4,100,tt2306809,movie,N/A,N/A,N/A,N/A,True,5.4/10,,38%,,,,,
The Quiet One,2019,Unrated,21 Jun 2019,98 min,"Documentary, Music",Oliver Murray,Oliver Murray,"Bill Wyman, Suzanne Accosta, Tony Chapman","THE QUIET ONE offers a unique, never before revealed and behind-the-scenes look at the highs and lows of the life and career of Bill Wyman, former, founding member of the Rolling Stones and renaissance man of rock and roll.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTg2YzFjMzEtYzMxMy00MDRmLWFhY2YtYzc3OWVkNTIwODc0XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,57,7.2,437,tt5032364,movie,N/A,"$37,010",N/A,N/A,True,7.2/10,,64%,57/100,,,,
The Quiet One,2008,N/A,N/A,4 min,"Short, Comedy, Drama",Claire Carré,N/A,"Jason Stevan Hill, Nick Martin, Kelley Reynolds",A lonely woman orders a friend in the mail.,English,United States,N/A,N/A,N/A,N/A,N/A,tt1515942,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
The Quiet One,1948,N/A,N/A,65 min,"Documentary, Drama",Sidney Meyers,"James Agee, Janice Loeb, Sidney Meyers","Gary Merrill, Donald Thompson, Clarence Cooper","A documentary account of the rehabilitation at the Wiltwyck School of an emotionally disturbed Black boy who is unwanted, misunderstood, and inwardly tortured.",English,United States,Nominated for 2 Oscars. 2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZGRkNDVjZmMtMWYxZi00Y2I2LWEwNWItZDZjNGIxNzA4YjQwXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.5,316,tt0040717,movie,N/A,N/A,N/A,N/A,True,6.5/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Wild Rose,2018,R,21 Jun 2019,101 min,"Drama, Music",Tom Harper,Nicole Taylor,"Jessie Buckley, Matt Costello, Jane Patterson",A troubled young Glaswegian woman dreams of becoming a Nashville country star.,English,"United Kingdom, United States, Canada",Nominated for 1 BAFTA Award20 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BNTBlOWM4ZTgtYTIyYS00YTViLWE0YTYtNGVhNGM5YTQxODFkXkEyXkFqcGc@._V1_SX300.jpg,80,7.1,"15,828",tt5117428,movie,N/A,"$1,635,117",N/A,N/A,True,7.1/10,,92%,80/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Shaft,2019,R,14 Jun 2019,111 min,"Action, Comedy, Crime",Tim Story,"Ernest Tidyman, Kenya Barris, Alex Barnow","Samuel L. Jackson, Jessie T. Usher, Richard Roundtree","JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWUzNjIxY2EtNGNjMC00N2U1LTk1YzItMzUwOWIzOTc1OGRjXkEyXkFqcGc@._V1_SX300.jpg,40,6.4,"61,486",tt4463894,movie,N/A,"$21,360,215",N/A,N/A,True,6.4/10,,34%,40/100,,,,
Shaft,1971,R,02 Jul 1971,100 min,"Action, Crime, Thriller",Gordon Parks,"Ernest Tidyman, John D.F. Black","Richard Roundtree, Moses Gunn, Charles Cioffi","A crime lord hires black private eye, John Shaft, to find and retrieve his kidnapped daughter.",English,United States,Won 1 Oscar. 6 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZTBhZmU3ZjItODdmYS00NzZlLTgwNTAtODg1ZTcyODc2Yzc5XkEyXkFqcGc@._V1_SX300.jpg,66,6.6,"22,070",tt0067741,movie,N/A,N/A,N/A,N/A,True,6.6/10,,88%,66/100,,,,
Men in Black: International,2019,PG-13,14 Jun 2019,114 min,"Action, Adventure, Comedy",F. Gary Gray,"Matt Holloway, Art Marcum, Lowell Cunningham","Chris Hemsworth, Tessa Thompson, Kumail Nanjiani",The MIB tackle a mole in their organization.,"English, French, Chinese","United States, China, United Kingdom",1 win & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNTI0ZjJlODYtNTAyOS00ZDk4LTk0M2ItNDljMzY5NmZkYTRkXkEyXkFqcGc@._V1_SX300.jpg,38,5.6,"157,214",tt2283336,movie,N/A,"$80,001,807",N/A,N/A,True,5.6/10,,23%,38/100,,,,
Hampstead,2017,PG-13,14 Jun 2019,102 min,"Comedy, Drama, Romance",Joel Hopkins,Robert Festinger,"Brendan Gleeson, James Norton, Alistair Petrie",An American widow finds unexpected love with a man living wild on Hampstead Heath when they take on the developers who want to destroy his home.,English,"United Kingdom, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BMDVmNzFjZDktNTNiMi00ZTY4LWE5N2MtYTQ2Yjg3NGI3MDZlXkEyXkFqcGc@._V1_SX300.jpg,53,6.1,"7,839",tt5153236,movie,N/A,"$144,396",N/A,N/A,True,6.1/10,,43%,53/100,,,,
American Woman,2018,R,14 Jun 2019,111 min,"Drama, Mystery",Jake Scott,Brad Ingelsby,"Sienna Miller, Sky Ferreira, Kentucker Audley",A woman raises her young grandson after her daughter goes missing.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BOWQwMTM0MjctNjE2Mi00MjNiLWIyYmMtNDYyMWJhOWNiNDEzXkEyXkFqcGc@._V1_SX300.jpg,68,6.8,"8,307",tt4465572,movie,N/A,"$236,637",N/A,N/A,True,6.8/10,,89%,68/100,,,,
American Woman,2019,R,15 Sep 2020,85 min,Drama,Semi Chellas,"Semi Chellas, Susan Choi","Hong Chau, Sarah Gadon, John Gallagher Jr.","Inspired by the headline-dominating kidnapping of heiress Patty Hearst in 1974, this atmospheric drama is a fictionalized re-imagining of her time in hiding, from the perspective of Jenny, a political activist assigned to take car...",English,"Canada, United States",5 nominations,https://m.media-amazon.com/images/M/MV5BYzZhOWQwZTUtZTljYy00OWEzLWI4NTEtODg2ZmQ0NjUzYmQzXkEyXkFqcGc@._V1_SX300.jpg,49,5.1,380,tt9109492,movie,N/A,N/A,N/A,N/A,True,5.1/10,,57%,49/100,,,,
American woman,2025,N/A,01 Jan 2025,N/A,Thriller,Artie Siegel,Artie Siegel,N/A,"Dr. Molly Reese's life is shattered when a car accident claims the lives of her entire family. Seeking solace, she attends grief counseling but struggles to cope with the loss, unraveling under the weight of stress and insomnia. D...",N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzVlNzlmNWItMDljNy00M2U1LTkxNmEtMWE0OWQ4ODk0YTQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt32351467,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Shaft,2000,R,16 Jun 2000,99 min,"Action, Crime, Thriller",John Singleton,"Ernest Tidyman, John Singleton, Shane Salerno","Samuel L. Jackson, Vanessa Williams, Christian Bale",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,"English, German, Spanish","Germany, United States",2 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNThjNDFiMmUtYmY1Ni00YzQyLTk5ZDAtMDdiZmM2MGRkYTY2XkEyXkFqcGc@._V1_SX300.jpg,50,6.0,"83,881",tt0162650,movie,N/A,"$70,334,258",N/A,N/A,True,6.0/10,,67%,50/100,,,,
Killer Unicorn,2018,PG-13,14 Jun 2019,74 min,Horror,Drew Bolton,José D. Álvarez,"Dennis Budesheim, Alejandro La Rosa, Markus Kelle","American Pyscho, Party Monster and DJ Steve Aoki all combine for Killer Unicorn!",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTk0ODIxZjItY2E1MS00OGE1LTgwYjQtMGFlYzM5M2Q2ZTM0XkEyXkFqcGc@._V1_SX300.jpg,N/A,3.2,237,tt6423998,movie,N/A,"$33,901",N/A,N/A,True,3.2/10,,,,,,,
Framing John DeLorean,2019,Unrated,07 Jun 2019,109 min,"Documentary, Biography, Drama","Don Argott, Sheena M. Joyce","Dan Greeney, Alexandra Orton","John DeLorean, Alec Baldwin, Josh Charles","Who was the real John DeLorean? To some, he was a renegade visionary who revolutionized the automobile industry. To others, he was the ultimate con man.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTAyODY3NzcxNjdeQTJeQWpwZ15BbWU4MDg2MzU1Njcz._V1_SX300.jpg,67,6.5,"2,568",tt6256978,movie,N/A,"$145,625",N/A,N/A,True,6.5/10,,92%,67/100,,,,
X-Men: Dark Phoenix,2019,PG-13,07 Jun 2019,113 min,"Action, Adventure, Sci-Fi",Simon Kinberg,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.","English, French",United States,13 nominations total,https://m.media-amazon.com/images/M/MV5BZjcwMDIyNjctMDVmNS00MzkyLTgxMDMtNTFmNTk0NDkyNzdjXkEyXkFqcGc@._V1_SX300.jpg,43,5.7,"223,415",tt6565702,movie,N/A,"$65,845,974",N/A,N/A,True,5.7/10,,22%,43/100,,,,
The Secret Life of Pets 2,2019,PG,07 Jun 2019,86 min,"Animation, Adventure, Comedy","Chris Renaud, Jonathan del Val","Brian Lynch, Ken Daurio, Cinco Paul","Patton Oswalt, Kevin Hart, Harrison Ford","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",English,"Japan, United States",11 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2NzM0MjA0MTJeQTJeQWpwZ15BbWU4MDk1MzYwNzYz._V1_SX300.jpg,55,6.4,"75,855",tt5113040,movie,N/A,"$158,980,250",N/A,N/A,True,6.4/10,,60%,55/100,,,,
Pavarotti,2019,PG-13,30 Dec 2019,114 min,"Documentary, Biography, Music",Ron Howard,"Cassidy Hartmann, Mark Monroe","Luciano Pavarotti, Andrea Griminelli, Nicoletta Mantovani","Life, works and achievements of opera legend Luciano Pavarotti.","English, Italian, Spanish, French, Russian","United States, United Kingdom, France, Italy",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTgyMjk3MzE1MV5BMl5BanBnXkFtZTgwMzk2OTQ4NzM@._V1_SX300.jpg,66,7.5,"3,938",tt6964076,movie,N/A,"$4,600,249",N/A,N/A,True,7.5/10,,87%,66/100,,,,
Ma,2019,R,31 May 2019,99 min,"Horror, Mystery, Thriller",Tate Taylor,Scotty Landes,"Octavia Spencer, Diana Silvers, Juliette Lewis","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.","English, Spanish","Japan, United States",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2MjA3ODU0NjBeQTJeQWpwZ15BbWU4MDE3NTQxNDcz._V1_SX300.jpg,53,5.6,"69,060",tt7958736,movie,N/A,"$45,896,028",N/A,N/A,True,5.6/10,,55%,53/100,,,,
Ma,2015,Not Rated,19 Apr 2015,80 min,Drama,Celia Rowlson-Hall,Celia Rowlson-Hall,"Kentucker Audley, Matt Lauria, Andrew Pastides","MA is a striking modern-day vision of Mother Mary's pilgrimage through the eyes of Ma (played by Celia Rowlson-Hall), a woman who must venture across the scorched landscape of the American Southwest to fulfill her destiny.",English,United States,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTgwNjM1NTU0M15BMl5BanBnXkFtZTgwOTQ4MjEwMTI@._V1_SX300.jpg,67,5.8,241,tt4410770,movie,N/A,N/A,N/A,N/A,True,5.8/10,,92%,67/100,,,,
Rocketman,2019,R,31 May 2019,121 min,"Biography, Drama, Music",Dexter Fletcher,Lee Hall,"Taron Egerton, Jamie Bell, Richard Madden","The musical fantasy about Elton John's breakthrough years, from his time as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",English,"United Kingdom, United States, Canada",Won 1 Oscar. 25 wins & 87 nominations total,https://m.media-amazon.com/images/M/MV5BNDNmM2U1MDAtNmE3NS00ZWVjLWFiZDktZTkwZjY5YWU2ZjZkXkEyXkFqcGc@._V1_SX300.jpg,69,7.3,"204,815",tt2066051,movie,N/A,"$96,368,160",Rocket Pictures,N/A,True,7.3/10,,,69/100,,,,
Rocketman,2014,N/A,27 May 2014,12 min,"Short, Drama, Fantasy",Nicholas Colla,"Nicholas Colla, Phil Enchelmaier","Philip Manifavas, Rory Mackenzie, Gabriella Rose-Carter","Nine year old Harry has a plan. A plan to build a rocket and fly his mum to safety just like his hero The Star Ship Captain from his favourite TV show. With only his best friend Jordan by his side, can they blast off before it's t...",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BZDBiYWFlODMtZTdlOC00MWM0LWI1MDEtMDhjMTdjYTU1N2I2XkEyXkFqcGdeQXVyMzQ1NzAwNjc@._V1_SX300.jpg,N/A,5.3,44,tt3294800,movie,N/A,N/A,N/A,N/A,True,5.3/10,,,,,,,
RocketMan,1997,PG,10 Oct 1997,95 min,"Comedy, Family, Sci-Fi",Stuart Gillard,"Oren Aviv, Craig Mazin, Greg Erb","Harland Williams, Jessica Lundy, William Sadler",Fred Z. Randall is a geeky spacecraft designer who gets the chance to make his dream come true and travel to Mars.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjI5YzMwMmQtNjQ1OC00YTg5LTg2MTUtNDM0OTFkNTkyNzdkXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.9,"11,000",tt0120029,movie,N/A,"$15,448,043",N/A,N/A,True,5.9/10,,20%,,,,,
Brightburn,2019,R,24 May 2019,90 min,"Drama, Horror, Mystery",David Yarovesky,"Brian Gunn, Mark Gunn","Elizabeth Banks, David Denman, Jackson A. Dunn",An alien that looks like a human boy uses its powers in sinister and destructive ways.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTBhNDcwNzYtOWE3Mi00MGU1LWI1YTAtOTJiZjIzODRjMjc2XkEyXkFqcGc@._V1_SX300.jpg,44,6.1,"116,919",tt7752126,movie,N/A,"$17,300,439",N/A,N/A,True,6.1/10,,57%,44/100,,,,
Echo in the Canyon,2018,PG-13,07 Jun 2019,82 min,"Documentary, Music",Andrew Slater,"Andrew Slater, Eric Barrett","The Byrds, The Beach Boys, Buffalo Springfield","A look at the roots of the historic music scene in L.A.'s Laurel Canyon featuring the music of iconic groups such as The Byrds, The Beach Boys, Buffalo Springfield, and The Mamas and the Papas.",English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BM2QzZDA3MGUtMjgyNi00OTYwLWFiZWUtNjNhNjQ1MDMwMzRlXkEyXkFqcGc@._V1_SX300.jpg,69,7.0,"4,181",tt8884430,movie,N/A,"$3,355,324",N/A,N/A,True,7.0/10,,89%,69/100,,,,
Halston,2019,Not Rated,24 May 2019,105 min,"Documentary, Biography",Frédéric Tcheng,Frédéric Tcheng,"Halston, Tom Fallon, Jacqueline Kennedy","Prodigiously talented, Halston reigned over fashion in the 1970s and became a household name. But everything changed in the Wall Street era. With his empire under threat, Halston took the biggest gamble of his life.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNWQ3NzhhZWMtYWU5NC00NmUxLWIyNDktM2Q1N2U4M2JjYzVmXkEyXkFqcGc@._V1_SX300.jpg,64,7.1,"1,524",tt9358192,movie,N/A,"$151,991",N/A,N/A,True,7.1/10,,77%,64/100,,,,
The Lumber Baron,2019,PG,04 Jun 2019,120 min,"Drama, History, Mystery",Barry Andersson,Karen R. Hurd,"Joseph Bezenek, Christina Baldwin, Anna Stranz","At the turn of the century lumber was a booming industry in a savage land. Upon the unexpected death of his father, Daniel Rimsdale returns home to try to salvage the floundering family lumber business, find out who killed his fat...",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZTMwNDdiYjktODQ1NS00YjM5LWE0NDYtNzA5MzFmYjhjZWRmXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.0,145,tt6977218,movie,N/A,"$88,336",N/A,N/A,True,6.0/10,,,,,,,
Walking on Water,2007,Not Rated,10 Jan 2007,73 min,Documentary,Nic McLean,Bryan S. Jennings,"Luke Davis, Tyler Hallen, Bryan S. Jennings",Two Surfers. One Dream. Finding Faith On The Journey Of A Lifetime.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA5NzA2Nzk1Ml5BMl5BanBnXkFtZTcwODYwOTQ3Mw@@._V1_SX300.jpg,N/A,6.1,82,tt1555159,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,,
Walking on Water,2018,N/A,17 May 2019,105 min,"Documentary, Adventure, Comedy",Andrey Paounov,N/A,Christo,"An uncensored look into the artistic process and personal relationships of Christo, an artist known for his large-scale installations. For the first time since the passing of his wife and partner, Jeanne-Claude, Christo sets out t...",English,"Italy, Germany, United Arab Emirates, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BZmNhZDVmZDMtNWM2Zi00NmZkLTk0ZGYtYjVhMzZmZmI5ZmUxXkEyXkFqcGc@._V1_SX300.jpg,63,6.9,717,tt7681868,movie,N/A,"$102,140",N/A,N/A,True,6.9/10,,88%,63/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
