Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,Error
The Exorcist,1973,R,26 Dec 1973,122 min,Horror,William Friedkin,William Peter Blatty,"Ellen Burstyn, Max von Sydow, Linda Blair","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","English, Latin, Greek, French, German, Arabic, Kurdish",United States,Won 2 Oscars. 18 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_SX300.jpg,83,8.1,"486,836",tt0070047,movie,N/A,"$233,005,644",N/A,N/A,True,8.1/10,78%,83/100,,,,
The Sound of Music,1994,N/A,08 Jul 1994,11 min,"Animation, Short",Phil Mulloy,N/A,N/A,Engages with the deep-rooted sexual and class-based politics of a seemingly arbitrary and violent culture.,English,United Kingdom,2 wins,https://m.media-amazon.com/images/M/MV5BMTMyNTYyNzkzMl5BMl5BanBnXkFtZTcwNzUwNzMzMQ@@._V1_SX300.jpg,N/A,6.6,103,tt0360005,movie,N/A,N/A,N/A,N/A,True,6.6/10,,,,,,
The Sound of Music,1965,G,01 Apr 1965,174 min,"Biography, Drama, Family",Robert Wise,"Georg Hurdalek, Howard Lindsay, Russel Crouse","Julie Andrews, Christopher Plummer, Eleanor Parker",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"English, German",United States,Won 5 Oscars. 19 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYWJhYmU4MjQtZDJhYi00ZGVjLTlkNTEtNzkzNGVjOWQ3MjcwXkEyXkFqcGc@._V1_SX300.jpg,63,8.1,"283,446",tt0059742,movie,N/A,"$160,888,776",N/A,N/A,True,8.1/10,83%,63/100,,,,
A Hard Day's Night,1964,G,07 Jul 1964,87 min,"Comedy, Musical",Richard Lester,Alun Owen,"John Lennon, Paul McCartney, George Harrison","Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.","English, German, French","United Kingdom, United States",Nominated for 2 Oscars. 2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNWY3OGNkM2QtYWZjMi00NTVhLTkzZWQtZTcyMGNhNjczNWVmXkEyXkFqcGc@._V1_SX300.jpg,96,7.5,"50,043",tt0058182,movie,N/A,"$1,480,356",N/A,N/A,True,7.5/10,98%,96/100,,,,
Lawrence of Arabia,1962,PG,02 Apr 2013,227 min,"Adventure, Biography, Drama",David Lean,"Robert Bolt, Michael Wilson","Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish","United Kingdom, United States",Won 7 Oscars. 31 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_SX300.jpg,100,8.3,"334,419",tt0056172,movie,N/A,"$45,306,425",N/A,N/A,True,8.3/10,93%,100/100,,,,
On the Bowery,1956,Not Rated,19 Jul 1962,65 min,"Documentary, Drama",Lionel Rogosin,"Richard Bagley, Lionel Rogosin, Mark Sufrin","Ray Salyer, Gorman Hendricks, Frank Matthews","By focusing on the lives of three down-and-out alcoholic transients, the film creates a wrenching portrait of the tragic hopelessness of life on ""The Bowery"" in New York City.",English,United States,Nominated for 1 Oscar. 3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTI0NTUyODE5OF5BMl5BanBnXkFtZTcwNjk0MzUyNw@@._V1_SX300.jpg,N/A,7.4,"1,264",tt0050800,movie,N/A,"$41,802",N/A,N/A,True,7.4/10,92%,,,,,
Little Fugitive,2006,N/A,27 May 2006,89 min,Drama,Joanna Lipper,"Joanna Lipper, Morris Engel, Ruth Orkin","David Castro, Nicolas Salgado, Raquel Castro","Set in present-day Brooklyn, this film is a remake of the 1953 classic ""Little Fugitive."" With his father in jail and his mother working long hours at a nursing home, Lenny, 11, is burdened with the responsibility of looking after...",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMjA4MjAxNTA3NV5BMl5BanBnXkFtZTcwNjg0NjI5MQ@@._V1_SX300.jpg,N/A,5.5,214,tt0418835,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,
Little Fugitive,1953,Not Rated,16 Dec 1953,75 min,"Drama, Family","Ray Ashley, Morris Engel, Ruth Orkin","Ray Ashley, Morris Engel, Ruth Orkin","Richard Brewster, Winifred Cushing, Jay Williams","A young boy fears that he shot his older brother, who is only faking. He then runs away to Coney Island, a crowded beach area, and gets money by returning soda bottles for their deposits.",English,United States,Nominated for 1 Oscar. 4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNjk0ZDdjYzEtOWNjYS00ZmE3LWJiZDktYWVkM2I0MzU1MzAzXkEyXkFqcGc@._V1_SX300.jpg,91,7.5,"3,076",tt0046004,movie,N/A,"$29,505",N/A,N/A,True,7.5/10,93%,91/100,,,,
Monsieur Verdoux,1947,Approved,23 Oct 1947,124 min,"Comedy, Crime, Drama",Charles Chaplin,"Charles Chaplin, Orson Welles, Max Morise","Charles Chaplin, Mady Correll, Allison Roddan","A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.","English, French, Latin",United States,Nominated for 1 Oscar. 5 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzI2MGY4YmQtYTRjZS00MGQ4LWIzNTMtYjUyM2YyZTA4OWVlXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.8,"19,567",tt0039631,movie,N/A,"$64,636",N/A,N/A,True,7.8/10,97%,,,,,
The Wizard of Oz,1991,Unrated,01 Jan 1991,25 min,"Animation, Short, Family, Fantasy",N/A,"L. Frank Baum (book), Roger Scott Olsen (screenplay)",Candi Milo,"L.Frank Baum's classic. Dorothy and her dog, Toto, are whisked away from their home in Kansas and find themselves in the magical land of Oz. While on her journey to find the Wizard, hoping ...",N/A,"USA, South Korea",N/A,https://m.media-amazon.com/images/M/MV5BMTczOTIxMTUwN15BMl5BanBnXkFtZTcwNTAwNTUxMQ@@._V1_SX300.jpg,N/A,6.4,46,tt0103277,movie,N/A,N/A,N/A,N/A,True,6.4/10,,,,,,
The Wizard of Oz,1933,N/A,19 Jun 1933,9 min,"Animation, Short, Comedy",Ted Eshbaugh,"Frank Joslyn Baum, L. Frank Baum",N/A,"Dorothy is swept in a twister from her boring Kansas farm to the wonderful land of Oz, where she makes some friends and is welcomed in the Emerald City.",English,"United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNWZhNTQ2YzItZTI1Ny00ZDk4LWFkMmYtYjE2NmYzMGVhMmVkXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,N/A,5.8,390,tt0024779,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,
The Wizard of Oz,1991,N/A,12 Oct 1991,24 min,"Animation, Short, Adventure",N/A,"L. Frank Baum, Barbara Oliver","Norma MacMillan, Lee Tockar, Christine Lippa","This whaked out anime short pulls out all the stops, making fun of every aspect of the story and filmmaking in general. Britain Dunham speaks like Arnold Schwarzenegger as ""The Tinmanator"" in this adaptation of the L. Frank Baum c...",English,"Japan, United States",N/A,https://m.media-amazon.com/images/M/MV5BNDAxMjVhYjYtZTkwNC00N2UxLTk1ZGQtY2NkNjA1YzYzMmMyXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.2,32,tt0103276,movie,N/A,N/A,N/A,N/A,True,5.2/10,,,,,,
The Wizard of Oz,1925,TV-G,27 Jan 1925,95 min,"Comedy, Family, Fantasy",Larry Semon,"L. Frank Baum, Frank Joslyn Baum, Leon Lee","Dorothy Dwan, Charles Murray, Oliver Hardy","Dorothy, heir to the Oz throne, must take it back from the wicked Prime Minister Kruel with the help of three farmhands.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BYmRiYzNiZjYtYTlkZS00NWE1LTliMGItMDYwMWQzMDJmMmVkXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.9,"1,902",tt0016544,movie,N/A,N/A,N/A,N/A,True,4.9/10,,,,,,
The Wizard of Oz,2023,N/A,29 Jun 2023,51 min,Horror,Wigwolf,"L. Frank Baum, Wigwolf","Mixy Six, Aaron Moynihan, Arly Edam Canales","Get ready for a surreal adventure of a lifetime with The Wizard of Oz. Join the one and only Arly Canales as Dorothy, as she sets out on a quest of self-discovery and redemption in this spectacularly surreal Catholic adventure in ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzU1YWJiNGEtYjI2MC00MzQ4LThjN2MtMjk1OTY1MTVmZTYxXkEyXkFqcGc@._V1_SX300.jpg,N/A,8.5,148,tt21329902,movie,N/A,N/A,N/A,N/A,True,8.5/10,,,,,,
The Wizard of Oz,1939,G,25 Aug 1939,102 min,"Adventure, Family, Fantasy","Victor Fleming, George Cukor, Norman Taurog","Noel Langley, Florence Ryerson, Edgar Allan Woolf","Judy Garland, Frank Morgan, Ray Bolger","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...",English,United States,Won 2 Oscars. 16 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BYWRmY2I0MGItYTQ0OC00NWZmLWIwMDktYjJlNDc0MzVhMmViXkEyXkFqcGc@._V1_SX300.jpg,92,8.1,"453,906",tt0032138,movie,N/A,"$24,668,669",N/A,N/A,True,8.1/10,98%,92/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
Modern Times,1936,G,25 Feb 1936,87 min,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,English,United States,6 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_SX300.jpg,96,8.5,"276,967",tt0027977,movie,N/A,"$163,577",N/A,N/A,True,8.5/10,98%,96/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Incorrect IMDb ID.
